id,title,tags
19995,Avatar,in
285,Pirates of the Caribbean: At World's End,captain
206647,Spectre,a
49026,The Dark Knight Rises,follow
49529,John Carter,john
559,Spider-Man 3,the
38757,Tangled,when
99861,Avengers: Age of Ultron,when
767,Harry Potter and the Half-Blood Prince,as
209112,Batman v Superman: Dawn of Justice,fear
1452,Superman Returns,superman
10764,Quantum of Solace,quantum
58,Pirates of the Caribbean: Dead Man's Chest,captain
57201,The Lone Ranger,the
49521,Man of Steel,a
2454,The Chronicles of Narnia: Prince Caspian,one
24428,The Avengers,when
1865,Pirates of the Caribbean: On Stranger Tides,captain
41154,Men in Black 3,agent
122917,The Hobbit: The Battle of the Five Armies,immedi
1930,The Amazing Spider-Man,peter
20662,Robin Hood,when
57158,The Hobbit: The Desolation of Smaug,the
2268,The Golden Compass,after
254,King Kong,in
597,Titanic,84
271110,Captain America: Civil War,follow
44833,Battleship,when
135397,Jurassic World,twenty-two
37724,Skyfall,when
558,Spider-Man 2,peter
68721,Iron Man 3,when
12155,Alice in Wonderland,alic
36668,X-Men: The Last Stand,when
62211,Monsters University,a
8373,Transformers: Revenge of the Fallen,sam
91314,Transformers: Age of Extinction,as
68728,Oz: The Great and Powerful,oscar
102382,The Amazing Spider-Man 2,for
20526,TRON: Legacy,sam
49013,Cars 2,star
44912,Green Lantern,for
10193,Toy Story 3,woodi
534,Terminator Salvation,all
168259,Furious 7,deckard
72190,World War Z,life
127585,X-Men: Days of Future Past,the
54138,Star Trek Into Darkness,when
81005,Jack the Giant Slayer,the
64682,The Great Gatsby,an
9543,Prince of Persia: The Sands of Time,a
68726,Pacific Rim,when
38356,Transformers: Dark of the Moon,sam
217,Indiana Jones and the Kingdom of the Crystal Skull,set
105864,The Good Dinosaur,an
62177,Brave,brave
188927,Star Trek Beyond,the
10681,WALL·E,wall·
5174,Rush Hour 3,after
14161,2012,dr.
17979,A Christmas Carol,miser
76757,Jupiter Ascending,in
258489,The Legend of Tarzan,tarzan
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",sibl
246655,X-Men: Apocalypse,after
155,The Dark Knight,batman
14160,Up,carl
15512,Monsters vs Aliens,when
1726,Iron Man,after
44826,Hugo,hugo
8487,Wild Wild West,legless
1735,The Mummy: Tomb of the Dragon Emperor,archaeologist
297761,Suicide Squad,from
2698,Evan Almighty,god
137113,Edge of Tomorrow,major
9804,Waterworld,in
14869,G.I. Joe: The Rise of Cobra,from
150540,Inside Out,grow
278927,The Jungle Book,after
10138,Iron Man 2,with
58595,Snow White and the Huntsman,after
102651,Maleficent,the
119450,Dawn of the Planet of the Apes,a
79698,The Lovers,the
64686,47 Ronin,base
100402,Captain America: The Winter Soldier,after
10192,Shrek Forever After,a
158852,Tomorrowland,bound
177572,Big Hero 6,the
82690,Wreck-It Ralph,wreck-it
5255,The Polar Express,when
47933,Independence Day: Resurgence,we
10191,How to Train Your Dragon,as
296,Terminator 3: Rise of the Machines,it'
118340,Guardians of the Galaxy,light
157336,Interstellar,interstellar
27205,Inception,cobb
315011,Shin Godzilla,from
49051,The Hobbit: An Unexpected Journey,bilbo
9799,The Fast and the Furious,domen
4922,The Curious Case of Benjamin Button,tell
49538,X-Men: First Class,befor
131634,The Hunger Games: Mockingjay - Part 2,with
27022,The Sorcerer's Apprentice,balthazar
503,Poseidon,a
241259,Alice Through the Looking Glass,in
810,Shrek the Third,the
68735,Warcraft,the
87101,Terminator Genisys,the
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,thi
676,Pearl Harbor,the
1858,Transformers,young
1966,Alexander,alexand
675,Harry Potter and the Order of the Phoenix,return
674,Harry Potter and the Goblet of Fire,harri
8960,Hancock,hancock
6479,I Am Legend,robert
118,Charlie and the Chocolate Factory,a
2062,Ratatouille,a
272,Batman Begins,driven
10527,Madagascar: Escape 2 Africa,alex
18360,Night at the Museum: Battle of the Smithsonian,hapless
2080,X-Men Origins: Wolverine,after
605,The Matrix Revolutions,the
109445,Frozen,young
604,The Matrix Reloaded,six
76338,Thor: The Dark World,thor
76341,Mad Max: Fury Road,an
13448,Angels & Demons,harvard
10195,Thor,against
13053,Bolt,bolt
19585,G-Force,a
57165,Wrath of the Titans,a
62213,Dark Shadows,vampir
177677,Mission: Impossible - Rogue Nation,ethan
7978,The Wolfman,lawrenc
5559,Bee Movie,barri
49444,Kung Fu Panda 2,po
10196,The Last Airbender,the
956,Mission: Impossible III,retir
117251,White House Down,capitol
50321,Mars Needs Moms,when
11619,Flushed Away,london
266647,Pan,live
82703,Mr. Peabody & Sherman,a
652,Troy,in
80321,Madagascar 3: Europe's Most Wanted,alex
36669,Die Another Day,bond
43074,Ghostbusters,follow
95,Armageddon,when
608,Men in Black II,kay
2310,Beowulf,6th-centuri
140300,Kung Fu Panda 3,continu
56292,Mission: Impossible - Ghost Protocol,in
81188,Rise of the Guardians,when
7552,Fun with Dick and Jane,after
616,The Last Samurai,nathan
147441,Exodus: Gods and Kings,the
13475,Star Trek,the
557,Spider-Man,after
82702,How to Train Your Dragon 2,the
205584,Gods of Egypt,a
10048,Stealth,deepli
13183,Watchmen,in
944,Lethal Weapon 4,in
1927,Hulk,bruce
72559,G.I. Joe: Retaliation,frame
7364,Sahara,scour
2114,Final Fantasy: The Spirits Within,led
1771,Captain America: The First Avenger,predominantli
36643,The World Is Not Enough,greed
8619,Master and Commander: The Far Side of the World,after
50620,The Twilight Saga: Breaking Dawn - Part 2,after
65759,Happy Feet Two,mumbl
1724,The Incredible Hulk,scientist
267935,The BFG,the
281957,The Revenant,in
77950,Turbo,the
44896,Rango,when
270946,Penguins of Madagascar,skipper
2503,The Bourne Ultimatum,bourn
9502,Kung Fu Panda,when
102899,Ant-Man,arm
101299,The Hunger Games: Catching Fire,katniss
228161,Home,when
74,War of the Worlds,ray
